date,nav,daily_pnl,position,pos_size_bbl,roll_cost,action,crack,z_score
2024-04-05,1757515.64,0.0,0,0,0.0,hold,29.9928,-0.6557
2024-04-08,1757515.64,0.0,0,0,0.0,hold,28.7326,-1.2494
2024-04-09,1757515.64,0.0,0,0,0.0,hold,29.4048,-1.0237
2024-04-10,1757515.64,0.0,0,0,0.0,hold,29.5812,-1.0128
2024-04-11,1757515.64,0.0,0,0,0.0,hold,29.892,-1.101
2024-04-12,1757515.64,0.0,0,0,0.0,hold,30.4126,-1.0376
2024-04-15,1757515.64,0.0,0,0,0.0,hold,29.698,-1.392
2024-04-16,1757515.64,0.0,0,0,0.0,hold,30.7826,-0.8342
2024-04-17,1757515.64,0.0,0,0,0.0,hold,29.7594,-1.2848
2024-04-18,1757515.64,0.0,0,0,0.0,hold,28.7282,-1.655
2024-04-19,1757515.64,0.0,0,0,0.0,hold,28.3266,-1.7005
2024-04-22,1757515.64,0.0,0,0,0.0,hold,28.1868,-1.683
2024-04-23,1757515.64,0.0,0,0,0.0,hold,29.0572,-1.259
2024-04-24,1757515.64,0.0,0,0,0.0,hold,29.449,-1.0524
2024-04-25,1757515.64,0.0,0,0,0.0,hold,29.3652,-1.0432
2024-04-26,1757515.64,0.0,0,0,0.0,hold,29.2336,-1.0546
2024-04-29,1757515.64,0.0,0,0,0.0,hold,29.7718,-0.8557
2024-04-30,1757515.64,0.0,0,0,0.0,hold,29.16,-1.1093
2024-05-01,1757515.64,0.0,0,0,0.0,hold,27.4938,-1.7982
2024-05-02,1757515.64,0.0,0,0,0.0,hold,27.9554,-1.5341
2024-05-03,1757515.64,0.0,0,0,0.0,hold,27.6404,-1.6484
2024-05-06,1757515.64,0.0,0,0,0.0,hold,28.4492,-1.3218
2024-05-07,1757515.64,0.0,0,0,0.0,hold,27.3536,-1.9305
2024-05-08,1757515.64,0.0,0,0,0.0,hold,26.5658,-2.2061
2024-05-09,1756308.14,0.0,1,23000,0.0,enter,26.5968,-2.0139
2024-05-10,1738285.36,-18022.77,1,23000,0.0,hold,25.8132,-2.2456
2024-05-13,1726233.25,-12052.11,1,23000,0.0,hold,25.2892,-2.2665
2024-05-14,1713344.22,-12889.02,1,23000,0.0,hold,24.7288,-2.2655
2024-05-15,1724269.17,10924.94,1,23000,0.0,hold,25.2038,-1.885
2024-05-16,1743506.34,19237.17,1,23000,0.0,hold,26.0402,-1.43
2024-05-17,1761575.14,18068.8,1,23000,0.0,hold,26.8258,-1.036
2024-05-20,1745723.48,-15851.66,1,23000,0.0,hold,26.1366,-1.288
2024-05-21,1730902.31,-14821.17,1,23000,0.0,hold,25.4922,-1.4649
2024-05-22,1732774.45,1872.14,1,23000,0.0,hold,25.5736,-1.3458
2024-05-23,1743464.8,10690.35,1,23000,0.0,hold,26.0384,-1.0918
2024-05-24,1734025.7,-9439.1,1,23000,0.0,hold,25.628,-1.2123
2024-05-28,1718017.71,-16007.99,1,23000,0.0,hold,24.932,-1.4593
2024-05-29,1694079.31,-23938.4,1,23000,0.0,hold,23.8912,-1.8167
2024-05-30,1664160.8,-29918.51,1,23000,0.0,hold,22.5904,-2.1749
2024-05-31,1697235.07,33074.27,1,23000,0.0,hold,24.0284,-1.4602
2024-06-03,1680564.46,-16210.61,1,23000,460.0,hold,23.3236,-1.6351
2024-06-04,1708509.54,27945.08,1,23000,0.0,hold,24.5386,-1.0692
2024-06-05,1697184.37,-11325.17,1,23000,0.0,hold,24.0462,-1.1995
2024-06-06,1709608.89,12424.52,1,23000,0.0,hold,24.5864,-0.926
2024-06-07,1698573.63,-11035.25,1,23000,0.0,hold,24.1066,-1.0805
2024-06-10,1686254.87,-12318.76,1,23000,0.0,hold,23.571,-1.2688
2024-06-11,1683411.9,-2842.98,1,23000,0.0,hold,23.4474,-1.293
2024-06-12,1666552.85,-16859.05,1,23000,0.0,hold,22.7144,-1.6004
2024-06-13,1692257.7,25704.85,1,23000,0.0,hold,23.832,-0.9607
2024-06-14,1680647.39,-11610.31,1,23000,0.0,hold,23.3272,-1.1736
2024-06-17,1671700.25,-8947.14,1,23000,0.0,hold,22.9382,-1.3192
2024-06-18,1678890.23,7189.98,1,23000,0.0,hold,23.2508,-1.1165
2024-06-20,1677615.88,-1274.35,1,23000,0.0,hold,23.1954,-1.0972
2024-06-21,1708417.44,30801.56,1,23000,0.0,hold,24.5346,-0.1427
2024-06-24,1694721.02,-12488.92,0,0,0.0,exit,23.9916,-0.4464
2024-06-25,1694721.02,0.0,0,0,0.0,hold,24.7132,0.1558
2024-06-26,1694721.02,0.0,0,0,0.0,hold,25.8738,1.0693
2024-06-27,1694721.02,0.0,0,0,0.0,hold,25.2032,0.5626
2024-06-28,1694721.02,0.0,0,0,0.0,hold,24.5114,0.07
2024-07-01,1694721.02,0.0,0,0,0.0,hold,25.4182,0.8906
2024-07-02,1694721.02,0.0,0,0,0.0,hold,26.061,1.5481
